,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
0,0,0,0,0,0,3,122,alfa-romero,two,convertible,rwd,front,88.6,0.8111484863046613,0.3247863247863244,-2.0290145032580464,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,12.047619047619047,27,13495.0,low,0,1,1,0
1,1,1,1,1,1,3,122,alfa-romero,two,convertible,rwd,front,88.6,0.8111484863046613,0.3247863247863244,-2.0290145032580464,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,12.047619047619047,27,16500.0,low,0,1,1,0
2,2,2,2,2,2,1,122,alfa-romero,two,hatchback,rwd,front,94.5,0.8226814031715521,0.4444444444444446,-0.5583194270710061,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000.0,13.31578947368421,26,16500.0,Medium,0,1,1,0
3,3,3,3,3,3,2,164,audi,four,sedan,fwd,front,99.8,0.8486304661220567,0.5042735042735046,0.2178807520277088,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500.0,10.541666666666666,30,13950.0,low,0,1,1,0
4,4,4,4,4,4,2,164,audi,four,sedan,4wd,front,99.4,0.8486304661220567,0.521367521367522,0.2178807520277088,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500.0,14.055555555555555,22,17450.0,low,0,1,1,0
5,5,5,5,5,5,2,122,audi,two,sedan,fwd,front,99.8,0.8519942335415667,0.5128205128205127,-0.272350940034636,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,13.31578947368421,25,15250.0,low,0,1,1,0
6,6,6,6,6,6,1,158,audi,four,sedan,fwd,front,105.8,0.9259971167707832,0.9487179487179492,0.7898177261004489,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,13.31578947368421,25,17710.0,low,0,1,1,0
7,7,7,7,7,7,1,122,audi,four,wagon,fwd,front,105.8,0.9259971167707832,0.9487179487179492,0.7898177261004489,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,13.31578947368421,25,18920.0,low,0,1,1,0
8,8,8,8,8,8,1,158,audi,four,sedan,fwd,front,105.8,0.9259971167707832,0.9487179487179492,0.8715230081108383,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500.0,14.882352941176473,20,23875.0,Medium,0,1,0,1
9,9,9,9,10,10,2,192,bmw,two,sedan,rwd,front,101.2,0.849591542527631,0.3846153846153845,0.2178807520277088,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,11.0,29,16430.0,low,0,1,1,0
10,10,10,10,11,11,0,192,bmw,four,sedan,rwd,front,101.2,0.849591542527631,0.3846153846153845,0.2178807520277088,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,11.0,29,16925.0,low,0,1,1,0
11,11,11,11,12,12,0,188,bmw,two,sedan,rwd,front,101.2,0.849591542527631,0.3846153846153845,0.2178807520277088,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,12.047619047619047,28,20970.0,Medium,0,1,1,0
12,12,12,12,13,13,0,188,bmw,four,sedan,rwd,front,101.2,0.849591542527631,0.3846153846153845,0.2178807520277088,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,12.047619047619047,28,21105.0,Medium,0,1,1,0
13,13,13,13,14,14,1,122,bmw,four,sedan,rwd,front,103.5,0.9082172032676598,0.5641025641025647,0.7898177261004489,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,12.65,25,24565.0,Medium,0,1,1,0
14,14,14,14,15,15,0,122,bmw,four,sedan,rwd,front,103.5,0.9082172032676598,0.5641025641025647,0.7898177261004489,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,15.8125,22,30760.0,Medium,0,1,1,0
