,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
0,0,0,0,3,122,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.8111484863046613,0.31666666666666643,-2.0154834331087095,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,12.047619047619047,27,13495.0
1,1,1,1,3,122,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.8111484863046613,0.31666666666666643,-2.0154834331087095,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,12.047619047619047,27,16500.0
2,2,2,2,1,122,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,0.8226814031715521,0.43333333333333357,-0.5422001787166465,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000.0,13.31578947368421,26,16500.0
3,3,3,3,2,164,audi,gas,std,four,sedan,fwd,front,99.8,0.8486304661220567,0.49166666666666714,0.23536598332360822,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102.0,5500.0,10.541666666666666,30,13950.0
4,4,4,4,2,164,audi,gas,std,four,sedan,4wd,front,99.4,0.8486304661220567,0.5083333333333341,0.23536598332360822,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,14.055555555555555,22,17450.0
5,5,5,5,2,122,audi,gas,std,two,sedan,fwd,front,99.8,0.8519942335415667,0.5,-0.2557284348070776,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,13.31578947368421,25,15250.0
6,6,6,6,1,158,audi,gas,std,four,sedan,fwd,front,105.8,0.9259971167707832,0.9250000000000007,0.808309471142746,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,13.31578947368421,25,17710.0
7,7,7,7,1,122,audi,gas,std,four,wagon,fwd,front,105.8,0.9259971167707832,0.9250000000000007,0.808309471142746,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,13.31578947368421,25,18920.0
8,8,8,8,1,158,audi,gas,turbo,four,sedan,fwd,front,105.8,0.9259971167707832,0.9250000000000007,0.8901585408311922,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,14.882352941176473,20,23875.0
9,9,9,9,0,122,audi,gas,turbo,two,hatchback,4wd,front,99.5,0.8563190773666506,0.6333333333333341,-0.7058983180935418,3053,ohc,five,131,mpfi,3.13,3.4,7.0,160.0,5500.0,15.8125,22,
